"OUT_Id"	"g406"	"g407"	"g408"	"g409"	"g410"	"g416"	"g417"	"g418"	"g419"	"g420"	"g426"	"g427"	"g428"	"g429"	"g430"	"g436"	"g437"	"g438"	"g439"	"g440"	"g446"	"g447"	"g448"	"g449"	"g450"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"45"	"OTU50"	192788	97627	55312	208610	223818	87435	37910	21184	32058	102953	7726	9735	18348	5396	6378	5444	1101	1858	1535	1858	4462	7311	3562	5133	5688	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhodobiaceae"	"Rhodoligotrophos"	"uncultured_bacterium"
"46"	"OTU51"	2415739	427761	388750	2420148	4333052	2312087	899146	937325	558296	1637003	1668565	1274062	1475242	987709	914200	255111	493775	643009	186513	194204	1211077	2153511	951195	1542022	1701964	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp6"	NA	NA	"Gp6"	"Unassigned"
"47"	"OTU52"	1028030	371109	269687	972150	1411318	387958	253573	148750	186615	589514	106623	128256	502026	57048	88511	93956	94225	54513	45285	179801	66769	145600	113053	122889	122144	"Bacteria"	"Actinobacteria"	"Actinobacteria"	NA	NA	NA	"uncultured_bacterium_#0319-7F3"
"48"	"OTU53"	422983	180976	142656	497664	2219595	920584	377685	305482	152699	684934	525850	510088	559537	226035	237689	76222	127416	77898	21645	20752	226615	212644	216040	296644	293115	"Bacteria"	"Chloroflexi"	NA	NA	NA	NA	"uncultured_Firmicutes_bacterium"
"49"	"OTU54"	671489	635277	618438	1711374	992399	211969	73146	54496	107633	225800	16380	27351	69075	7247	16956	11511	9753	7124	1228	8827	5385	4356	6195	4356	8375	"Bacteria"	"Actinobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"50"	"OTU55"	539650	87694	115312	361091	513795	860927	345910	342171	233850	908416	412737	412583	439427	142467	289644	31578	50494	40730	2303	5265	159538	227422	125442	224311	183612	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Unassigned"	"Unassigned"
"51"	"OTU56"	6349194	2756386	1460625	7919906	10539414	3962167	1400629	3030110	1966659	4910237	2691987	2188698	4391189	2401894	2109022	855867	1163416	696438	298575	225332	1782000	2540067	2004447	2790667	2945530	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"uncultured_Rhodopseudomonas_sp."
"52"	"OTU57"	240920	179113	87812	513571	59685	30947	9596	4298	105310	137721	4327	1700	8172	25595	9333	2644	13843	774	614	23075	4000	4511	9757	5756	5688	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"Unassigned"
"53"	"OTU58"	15957	47029	55781	80444	65315	16033	1730	1075	1239	13328	9890	22406	11564	0	4044	156	944	0	0	0	2615	0	1549	6689	7585	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Saprospiraceae"	"Unassigned"	"Unassigned"
"54"	"OTU59"	1059943	671286	964375	582881	1260980	442395	366045	250219	153628	746164	82980	96115	356784	58590	63156	58489	82899	61173	13509	63496	96000	118533	120487	122578	163070	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	"Micromonospora"	"Unassigned"
