OTU_Id	g411	g412	g413	g414	g415	g421	g422	g423	g424	g425	g431	g432	g433	g434	g435	g441	g442	g443	g444	g445	g451	g452	g453	g454	g455	g406	g407	g408	g409	g410	g416	g417	g418	g419	g420	g426	g427	g428	g429	g430	g436	g437	g438	g439	g440	g446	g447	g448	g449	g450
OTU2283	2639	13193	5373	9211	12841	619	260	2202	158	1854	3872	2674	308	1730	3385	0	155	157	0	0	933	155	0	0	254	59641	10554	16875	29996	98818	16033	315	3684	7124	21634	10044	8808	4009	617	3889	933	629	155	0	0	2769	467	2478	10578	5688
OTU2284	0	0	307	921	783	0	0	0	0	1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	559	0	0	155	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2285	0	6829	1535	5680	7047	465	364	629	0	309	6350	2202	462	1888	2769	52	155	52	156	0	467	310	103	0	0	8371	5588	10781	18407	37725	8949	315	0	774	966	4790	10353	5705	617	6844	0	472	0	0	0	1231	1867	1394	3889	8533
OTU2286	0	466	307	1535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	3924	2018	4531	13635	16329	1119	0	0	0	193	0	0	154	154	3111	0	0	0	0	0	154	0	0	0	0
OTU2287	0	310	0	921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	682	1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2288	776	2018	3377	4605	5168	465	0	157	316	464	465	0	0	157	308	0	0	52	0	0	778	0	0	0	508	4185	1863	1875	5227	4786	3169	1258	154	929	386	0	0	617	0	0	0	472	310	461	619	0	0	0	0	158
OTU2289	1086	5588	614	1382	1566	310	520	315	948	927	7279	4090	2923	7236	6308	52	621	209	0	104	778	155	103	260	381	17003	15521	13594	25679	37162	5220	1730	614	1858	5215	9426	12208	48877	4163	6533	2022	944	310	614	155	0	1556	2478	2022	4266
OTU229	1242	6519	2303	13048	7047	1394	2339	1573	1422	1236	2633	1888	2000	1573	1231	259	517	157	0	104	2800	774	0	104	381	12295	22040	10781	7045	89245	26659	11798	5219	1858	5988	5563	13135	6784	1388	622	311	472	465	614	465	12462	13533	3252	6067	6005
OTU2290	4812	4967	4759	8136	7047	3717	260	1730	2054	5717	2478	1573	1846	1573	2000	519	362	574	52	778	156	0	155	364	381	4447	3880	4844	7726	16329	7830	2517	614	2633	5408	0	618	2004	617	622	311	472	465	307	155	308	467	0	311	158
OTU2291	621	1863	0	0	1409	0	52	315	1264	155	0	157	0	0	0	0	0	0	0	622	0	0	52	416	0	262	3880	0	1818	1126	0	629	0	0	0	0	0	154	0	0	0	0	0	0	310	0	0	0	0	0
OTU2292	155	310	0	1075	0	0	0	0	316	0	155	0	0	315	154	0	0	0	0	0	0	310	0	156	0	262	931	2031	1136	0	186	315	0	0	0	0	0	0	0	311	0	0	0	0	155	0	0	0	0	0
OTU2293	2018	5743	3991	11513	3289	10376	1611	6607	3318	7726	15332	12742	4615	7865	8923	1348	3052	2505	52	2904	4667	2323	464	1405	6352	8894	2794	312	6590	9291	5220	5191	4605	5885	9272	6181	4481	32225	12489	10267	3733	5978	3717	2763	10066	2154	1711	4801	4356	4582
OTU2294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2295	1242	6519	154	3991	8300	11305	7223	27371	5847	5408	55442	43573	19538	33663	92154	6430	19298	4958	571	10111	128644	45066	4795	15979	82196	16218	9313	3594	10908	23649	57606	49551	36535	15951	47130	50530	84371	269361	57511	86022	51644	23753	20288	20263	16261	22462	52889	79757	123044	145530
OTU2296	2328	466	154	1689	783	929	260	944	1738	2781	2013	3146	154	472	2154	0	259	157	0	0	0	465	52	0	0	17003	4346	5938	7272	21396	9881	1258	3070	2478	19702	9890	12362	7093	1079	4667	311	0	465	0	0	2000	3267	1084	3733	2844
OTU2297	0	1242	0	1075	1723	2168	1299	4247	0	4172	3562	1416	308	1258	5077	0	362	0	52	0	467	1239	155	104	508	2877	2949	6250	3636	7320	15287	4562	1075	1549	11783	4172	4018	16344	925	1711	1711	472	619	154	465	769	4044	1858	622	4108
OTU2298	2328	1397	1075	2917	1566	619	4781	0	0	464	155	157	0	157	154	52	155	0	0	0	0	0	0	0	0	1046	1086	156	1818	8164	8016	472	0	310	966	773	155	617	308	156	0	629	155	0	0	2615	1244	0	156	790
OTU2299	310	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	1086	0	0	0	186	0	1382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	778	0
OTU230	400443	384146	201096	1076404	665861	467235	85902	276697	176975	416291	291305	199461	55538	223213	607692	17059	45684	12943	2855	25459	210933	313142	9900	40389	122722	1121677	164368	154688	345865	1520552	1357759	329079	297961	232301	983168	524459	369470	492004	279383	361511	100644	83371	228429	35614	35155	241692	582556	189558	434778	466772
OTU2300	23747	50599	49737	8289	50738	7124	624	79596	26704	33687	2788	157	154	0	0	207	0	157	0	259	0	0	0	0	0	13864	14279	22500	19088	1971	4288	5034	5987	1394	11589	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0
OTU2301	0	466	154	0	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	4035	2812	3181	1408	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2302	310	931	307	0	940	1704	1455	315	790	3400	7434	5663	923	157	5385	0	0	0	0	0	311	465	0	104	0	17526	1397	2812	7726	9854	16592	944	307	774	7726	6645	8344	4009	1542	12444	933	0	465	0	0	1692	311	774	1556	20226
OTU2303	3415	10089	9825	6140	9709	3097	3742	12899	10903	8499	16881	11955	2154	13843	14154	3163	18108	2870	208	7415	35311	29889	4228	2811	15880	66966	11486	9375	46812	61092	13050	24382	37303	33296	63355	68918	89625	34692	41630	21156	25511	35708	17500	14276	7279	20615	27378	59159	85711	68578
OTU2304	0	621	307	154	0	0	0	0	0	0	155	0	0	157	0	0	0	0	0	0	0	0	0	0	0	1046	2328	3281	3181	6475	0	0	0	0	0	0	773	0	0	0	0	157	0	0	0	0	0	0	0	0
OTU2305	2949	6829	5987	4912	11745	1084	1455	2360	3002	5099	0	787	0	0	0	0	0	0	0	0	156	155	103	260	127	6801	10865	20781	11817	3941	186	4404	768	929	3284	0	155	0	0	0	0	0	0	0	0	0	0	0	156	0
