"OUT_Id"	"g411"	"g412"	"g413"	"g414"	"g415"	"g421"	"g422"	"g423"	"g424"	"g425"	"g431"	"g432"	"g433"	"g434"	"g435"	"g441"	"g442"	"g443"	"g444"	"g445"	"g451"	"g452"	"g453"	"g454"	"g455"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"71"	"OTU85"	75743	317871	9825	124956	225347	45066	24684	42629	44402	70309	14867	9438	7692	10382	24000	2126	2276	1357	208	3163	19133	11615	980	3487	2287	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	"Unassigned"	"Unassigned"
"72"	"OTU86"	492483	670510	565526	773070	551074	1689757	549814	1981551	674244	1201744	1101106	856517	343231	635191	680000	177904	187701	131045	22010	238519	1513556	984027	151803	585273	1791289	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	"Unassigned"
"73"	"OTU87"	1387273	2991840	1678158	2664605	1945436	1894027	255471	2298831	1124266	1355651	518650	348112	197538	322472	399538	23644	82831	14456	3634	58644	846689	326770	18769	55274	427623	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"Unassigned"
"74"	"OTU88"	121375	133792	52039	436425	192304	159049	74053	71888	90858	98896	299204	333798	222462	497079	602462	18511	96334	28443	7838	24163	263511	116770	10261	96340	30871	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces_prunicolor"
"75"	"OTU89"	855521	3239246	1615526	1260000	1798076	115221	33259	185775	171919	394967	37168	35393	21538	14944	15538	16748	23954	39350	16352	59837	17889	38872	17738	10826	20200	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_candidate_division_SPAM_bacterium"
"76"	"OTU90"	61929	226142	46513	184364	176174	82235	27854	73775	51670	105695	75111	39011	55231	56629	119538	2437	25248	6106	1921	13741	35156	26637	3558	15562	17024	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Solirubrobacterales"	NA	NA	"Unassigned"
"77"	"OTU91"	185166	345809	110066	541886	372550	539867	164684	379888	133521	438698	215575	123798	54154	170045	211846	15556	35285	16178	3582	31319	319356	148053	18614	33883	170871	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"78"	"OTU92"	178337	382594	253750	414781	363624	331416	70104	266629	145847	314459	289292	307371	111538	120809	69692	71244	53341	68471	13029	101630	79333	113053	99105	91135	70127	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_Dehalococcoides_sp."
"79"	"OTU93"	24368	40665	16579	81667	60447	34845	15330	20764	15485	39713	9757	10539	5538	9596	21692	622	1500	365	208	1400	8244	4027	619	520	2033	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Mesorhizobium"	"Mesorhizobium_amorphae"
"80"	"OTU94"	102594	98404	56031	191579	151902	786571	139792	347169	130993	362671	266991	308157	102769	363843	485692	41119	88418	27399	13185	55637	671222	435796	27690	72814	550091	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"81"	"OTU95"	6984	15676	24408	31776	13781	35465	2287	47978	25914	56711	19049	29888	4154	25798	29846	1400	3363	1044	0	3163	89444	49248	1495	4945	59710	"Bacteria"	"Acidobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"82"	"OTU96"	2173	6208	2763	0	3132	1239	52	157	3792	12517	1084	315	462	0	0	519	103	1200	571	519	0	0	155	0	0	"Bacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"83"	"OTU97"	82572	130687	75219	128026	109306	99735	17617	97056	39029	36004	7743	3461	5077	3146	8000	207	259	0	0	104	16956	5575	464	260	1016	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp25"	NA	NA	"Gp25"	"uncultured_Acidobacteria_bacterium"
"84"	"OTU98"	1242	7295	1382	2763	5951	1394	1455	629	316	1700	3097	1730	0	787	3538	0	0	0	0	0	0	774	0	0	254	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	NA	"Unassigned"
